Program,Utilities,01_1,01_10,01_2,01_3,01_4,01_5,01_6,01_7,01_8,01_9,02_1,02_10,02_2,02_3,02_4,02_5,02_6,02_7,02_8,02_9
gzip,debop,356201,336730,339965,329772,319518,329772,331237,330993,331847,320372,338317,327148,334593,331787,336241,331542,338683,319884,326415,323302
gzip,bloated,373351,332824,337218,331176,330748,319274,329528,331420,333129,330992,361876,320739,338501,342223,331115,336669,330565,337707,321166,324890
gzip,cov,357604,320556,340637,319763,320922,318542,318664,319579,329222,331054,387511,330627,334593,318663,330138,331298,332885,330871,331176,332519
gzip,chisel,606016,552366,561278,542662,530028,530699,538329,529174,535705,551757,590635,588011,562255,540526,527708,533934,552244,530882,534972,542967
grep,debop,320861,295227,309509,295409,295531,284118,299743,302550,297118,295043,338683,318298,333129,328185,330687,343627,329711,329712,331298,329650
grep,bloated,333251,295288,312133,296630,284911,296875,296447,297058,296936,303039,349669,331542,347533,328063,331054,330017,332092,319091,330809,329284
grep,cov,332701,302672,309874,294494,295776,296508,297484,295348,295470,295898,351317,333312,332214,317504,329406,329467,328185,318724,328917,319946
grep,chisel,494017,441955,469359,451537,435973,435973,435363,430602,436156,437743,498717,458434,494078,470641,465026,453063,456237,463683,461241,456359
printokens2,debop,327331,274231,283812,273803,272887,275390,274414,285461,274170,284545,305907,284362,289672,274292,283751,273681,274108,274902,275085,273620
printokens2,bloated,305114,284790,290222,285705,284301,272277,273193,286071,284606,274657,294433,275756,288757,274596,272888,286071,283935,274291,275084,273254
printokens2,cov,360289,273620,306335,273253,274840,272888,272948,273315,274352,276001,312621,285033,299072,273620,273192,292175,274108,275818,284851,274352
printokens2,chisel,314513,273803,286804,276183,273315,284545,273864,290161,282104,273742,308776,272765,297851,273559,273193,273193,276001,273071,274109,274536
mkdir,debop,305908,283752,290038,284484,286620,272705,285766,313110,287536,274536,309753,284667,299194,273253,285460,283996,272765,285155,285521,286193
mkdir,bloated,324157,285766,290954,285095,274291,283630,284240,330627,286437,275329,313658,286315,297119,284728,279358,274413,273193,288634,285705,285277
mkdir,cov,288635,286376,295349,284301,286377,284667,285461,324279,286376,289916,308837,277221,288940,285888,285522,272644,285521,275024,274840,286132
mkdir,chisel,317504,279296,294860,275634,288207,287292,276977,315734,273925,275512,309814,285278,306945,276489,286498,274108,287292,284118,286071,278380
date,debop,301696,274841,286926,283813,284850,284850,279053,283202,275756,278136,306456,285156,302001,286193,274230,273437,285522,290465,275451,274597
date,bloated,313048,290344,289428,274901,275695,283996,284240,285034,313537,274230,310302,275389,300231,285095,284606,273192,283752,275024,273681,312560
date,cov,303344,273925,298095,274352,273132,286315,276427,274292,285826,285217,291992,274169,303100,285826,284667,287963,273864,285217,284911,284423
date,chisel,303649,275207,284057,287291,286193,281799,289062,280700,277099,275390,310851,275451,291564,290161,277282,286804,286376,272582,276306,275390
sed,debop,322021,284423,300658,287231,273865,274535,284667,285034,283934,275207,322387,275451,283813,285156,273559,286376,284850,292053,287047,285155
sed,bloated,301757,277038,296813,291869,274352,274658,286010,287597,285949,285583,293090,275634,309570,283996,273437,285278,283324,286193,273376,285827
sed,cov,304198,274352,298278,272460,284057,274718,354736,274352,283935,285705,305114,285033,302673,271301,273559,284789,275024,333678,284972,285156
sed,chisel,322753,284850,303039,284789,273558,273925,286498,284972,285217,285705,319640,277709,319519,283447,274169,285949,283629,285278,285705,275024
