Program;Utilities;PSYS;Size
date;bloated;287914.25;94240
date;chisel;284160.7;27952
date;cov;284352.85;37536
date;debop;284331.55;37536
grep;bloated;317086.1;162640
grep;chisel;457307.85;111664
grep;cov;315260.85;87656
grep;debop;315404.45;87664
gzip;bloated;334755.55;104152
gzip;chisel;549107.4;91720
gzip;cov;331841.2;56616
gzip;debop;331715.95;56624
mkdir;bloated;289446.3;49360
mkdir;chisel;287996.7;19696
mkdir;cov;287615.3;23392
mkdir;debop;287520.6;23392
printtokens2;bloated;282000.05;21176
printtokens2;chisel;281304.4;21168
printtokens2;cov;285134.15;21184
printtokens2;debop;281771.2;21192
sed;bloated;285567.55;174472
sed;chisel;288768.75;155224
sed;cov;290404.5;87856
sed;debop;287371.1;85772
