Program;Utilities;PSYS
base64;BusyBox;430354.5
base64;GNU;349504.85
base64;ToyBox;907797.9
basename;BusyBox;293712.65
basename;GNU;294027.1
basename;ToyBox;292617.1
cat;BusyBox;37555418.35
cat;GNU;2125736.1
cat;ToyBox;1517433316.2
chmod;BusyBox;1951975.55
chmod;GNU;1539668.7
chmod;ToyBox;1523403.2
cksum;BusyBox;245804674.7
cksum;GNU;11393452.35
cksum;ToyBox;206246026.75
comm;BusyBox;120871544.2
comm;GNU;55065279.7
comm;ToyBox;338316876.9
cp;BusyBox;111249422.3
cp;GNU;108848402.9
cp;ToyBox;147443488.4
cut;BusyBox;4932394.1
cut;GNU;2207312.35
cut;ToyBox;11399989.05
date;BusyBox;312215.25
date;GNU;315367.9
date;ToyBox;315306.9
dirname;BusyBox;310088.4
dirname;GNU;321538.4
dirname;ToyBox;312242.9
du;BusyBox;490593.25
du;GNU;523237.7
du;ToyBox;518535.05
echo;BusyBox;305297.2
echo;GNU;321446.9
echo;ToyBox;310884.75
expand;BusyBox;14566014.9
expand;GNU;7273003.85
expand;ToyBox;502357.8
factor;BusyBox;316259.0
factor;GNU;321971.9
factor;ToyBox;316164.25
false;BusyBox;305318.35
false;GNU;320140.65
false;ToyBox;314748.35
head;BusyBox;307939.85
head;GNU;320018.7
head;ToyBox;314821.5
id;BusyBox;308193.3
id;GNU;327916.7
id;ToyBox;313204.25
link;BusyBox;306343.65
link;GNU;317284.3
link;ToyBox;312355.8
ln;BusyBox;305120.05
ln;GNU;322475.35
ln;ToyBox;335704.6
logname;BusyBox;310082.15
logname;GNU;322386.9
logname;ToyBox;310829.8
ls;BusyBox;898062.85
ls;GNU;1048413.35
ls;ToyBox;3487466.7
md5sum;BusyBox;143150640.5
md5sum;GNU;118599778.8
md5sum;ToyBox;264030510.05
mkdir;BusyBox;297652.6
mkdir;GNU;306612.3
mkdir;ToyBox;300334.95
mv;BusyBox;295278.2
mv;GNU;306938.95
mv;ToyBox;296898.8
sort;BusyBox;318299264.7
sort;GNU;95543426.25
sort;ToyBox;469334195.7
touch;BusyBox;294509.05
touch;GNU;295195.75
touch;ToyBox;295180.6
true;BusyBox;294853.9
true;GNU;294783.85
true;ToyBox;290862.3
wc;BusyBox;87557206.75
wc;GNU;454693406.8
wc;ToyBox;151481252.75
