Program;Size
acpi;26952
arch;14472
ascii;14440
base32;18664
base64;18664
basename;18632
blkdiscard;18632
blkid;22824
blockdev;18632
bunzip2;26952
bzcat;18600
cal;18664
cat;18664
chattr;23128
chgrp;22792
chmod;22792
chown;22792
chroot;18632
chrt;18664
chvt;18632
cksum;18664
clear;14440
cmp;18664
comm;18632
count;14472
cp;31208
cpio;27080
crc32;14472
cut;22824
date;26952
deallocvt;18632
devmem;18664
df;26952
dirname;18632
dmesg;18728
dnsdomainname;18728
dos2unix;18664
du;22792
echo;18632
egrep;26952
eject;18632
env;18664
expand;18664
factor;18632
fallocate;18632
false;14440
fgrep;26952
file;31016
find;39464
flock;18600
fmt;22792
free;18632
freeramdisk;18632
fsfreeze;18632
fstype;22792
fsync;18632
ftpget;26952
ftpput;22824
getconf;25928
gpiodetect;22824
gpiofind;22824
gpioget;18664
gpioinfo;18696
gpioset;18632
grep;31144
groups;14568
gunzip;22792
head;18632
help;18600
hexedit;31176
host;26984
hostname;18728
httpd;27048
hwclock;26952
i2cdetect;26984
i2cdump;18664
i2cget;18664
i2cset;18664
iconv;18664
id;18696
ifconfig;31080
inotifyd;18728
insmod;18696
ionice;18632
iorenice;18600
iotop;51880
kill;18696
killall;27016
killall5;26984
link;18600
linux32;14440
ln;22824
logger;18664
login;27144
logname;18696
losetup;26952
ls;31176
lsattr;23160
lsmod;14472
lspci;27080
lsusb;27048
makedevs;26920
mcookie;18664
md5sum;23432
microcom;18728
mix;18632
mkdir;18632
mkfifo;18600
mknod;18632
mkpasswd;26952
mkswap;18696
mktemp;18696
modinfo;26952
mount;31176
mountpoint;18632
mv;31240
nbd-client;27048
nbd-server;18728
netcat;27048
netstat;31144
nice;18632
nl;18696
nohup;18664
nproc;18632
nsenter;18696
od;22760
oneit;18728
openvt;18664
partprobe;18632
passwd;27080
paste;18664
patch;27016
pgrep;35304
pidof;22824
ping;26984
pivot_root;18600
pkill;31208
pmap;22824
printenv;18600
printf;18632
ps;43592
pwd;18632
pwdx;18632
pwgen;18696
readahead;14472
readelf;35048
readlink;22760
realpath;22760
reboot;18696
renice;18632
reset;14472
rev;14504
rfkill;18664
rm;26920
rmdir;18632
rmmod;18632
rtcwake;26984
sed;39336
seq;18632
setfattr;18632
setsid;18696
sha1sum;23432
sha224sum;23432
sha256sum;23432
sha384sum;23432
sha3sum;18632
sha512sum;23432
shred;18696
sleep;18600
sntp;27048
sort;22792
split;18664
stat;31048
strings;18664
su;27080
swapoff;18632
swapon;18600
switch_root;26952
sync;14440
sysctl;26984
tac;14504
tail;22792
tar;47848
taskset;22824
tee;18664
test;18664
time;18632
timeout;26984
top;51880
touch;18696
true;14472
truncate;18664
tty;18632
tunctl;18664
uclampset;26952
ulimit;18728
umount;26952
uname;18632
unicode;18632
uniq;18664
unix2dos;18664
unlink;18600
unshare;18728
uptime;18664
usleep;18632
uudecode;18664
uuencode;18664
uuidgen;18664
vconfig;18664
vmstat;22824
w;14472
watch;27080
watchdog;18728
wc;18664
which;18664
who;18664
whoami;18696
xargs;22792
xxd;22824
yes;14440
zcat;22792
