iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE
0;47033754;53249803;3310355;1537877;80813209;1274716;0
1;49261043;54741864;2828790;1461284;81307898;845579;0
2;49280025;54498823;2662469;1437062;80501992;684447;0
3;48049499;53290696;2576592;1429541;78746990;710203;0
4;48116942;53524705;2766534;1490197;79545817;775022;0
5;47174013;52492420;2691277;1489052;78362166;685179;0
6;46290165;51892140;2747857;1500328;77742843;721739;0
7;45457281;51019340;2770257;1506596;76591356;718382;0
8;44090463;49523677;2696709;1518790;74625114;728087;0
9;43866282;49535152;2795342;1543861;75094839;818846;0
